program,organization,phone_number,fax_number,email,website,address,hours,contact,description,fees,application,eligibility,languages,areas_served
Walk-in Counselling,Family Service Toronto,Service Access Unit 416-595-9618,416-595-0242,sau@familyservicetoronto.org,www.familyservicetoronto.org,"128 Sterling Rd, Unit A, Ste 202",Wed 3:30 pm-7:30 pm * last registration by 6:15 pm,,,Varies per program,Walk in * no appointment needed * last session begins 1 hour prior to closing * call Service Access Unit 416-595-9618 for information,"Anyone living or working in City of Toronto, regardless of age, cultural background, race or sexual orientation, including children * particularly individuals and families with low incomes in need",English,Toronto
Adelaide Resource Centre for Women - Learning Centre -- Pre-Employment Program,Street Haven at the Crossroads,416-392-9230,416-392-9241,thelearningcentre@streethaven.com,www.streethaven.com,Adelaide Resource Centre for Women,Mon-Fri 9 am-4 pm,Mary Choy - Program Manager,,,Drop-in or call for appointment,"Women 19 years and older including women who may have experienced crisis, homelessness, addiction or abuse issues",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Emergency Shelter,Covenant House Toronto,Intake 416-593-4849,,,www.covenanthousetoronto.ca,20 Gerrard St E,Mon-Sun 24 hours,Carol Howes - Program Services Director,,,,"Young men and women 16-24 years * includes persons in wheelchairs (call for details), and survivors of human trafficking and sexual exploitation",English ; French ; Spanish,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Ontario. Ministry of Community and Social Services. Ontario Disability Support Program,,Information Line 416-325-5666 * Disability Adjudication Unit 416-326-5079 * Toronto Regional Office 416-325-0500,,,www.mcss.gov.on.ca/en/mcss/programs/social/odsp,c/o Disability Adjudication Unit,Mon-Fri 8:30 am-5 pm,,"Income Supports:Health benefits -- prescription drugs * dental care * vision care * medical supplies, including diabetic and surgical supplies * transportation to medical treatment if cost",,Call nearest local office (see separate entries) to arrange a meeting or ,Income SupportAdults 18 years and older with a verified physical or mental disability expected to last a year or more * must live in Ontario and meet financial eligibility criteriaEmployment SupportsOntario residents 16 years and older with a physical or mental disability expected to last a year or more * it is not necessary to be receiving ODSP income support to be eligible for employment supports,English ; French,"Algoma, Barrie & Area, Brampton, Brant, Burlington, Caledon, Cambridge, Chatham â Kent, Cochrane, Collingwood & Area, Dufferin County, Durham Region, East York, Elgin, Etobicoke, Frontenac & Kingston, Grey and Bruce, Guelph, Haldimand Norfolk, Haliburton, Halton, Hamilton, Hastings, Huron and Perth, Kawartha Lakes, Kenora District, Kitchener-Waterloo, Lanark, Leeds & Grenville, Lennox & Addington, London and Middlesex, Malton, Manitoulin/Sudbury, Midland, Penetanguishene & Area, Mississauga, Muskoka, Niagara, Nipissing, North Lanark/North Grenville, North York, Northumberland, Orillia & Area, Ottawa, Oxford and Norfolk, Parry Sound, Peterborough, Prescott/Russell, Prince Edward, Rainy River District, Renfrew County, Rural Wellington, Sarnia â Lambton, Scarborough, South Simcoe, Stormont/Dundas/Glengarry, Thunder Bay City, Thunder Bay District, Timiskaming, Toronto, Trent Hills, Windsor â Essex, Woodbridge, York - Toronto, York Region"
Mill Centre - Employment Services,Dixon Hall - Neighbourhood Services,416-956-4949 ext 201,416-863-9981,haris.blentic@dixonhall.org,www.dixonhall.org,58 Sumach St,,,Carpentry and home renovation paid training * academic upgrading * job skills * employment support * life skills training,,Call for information,"Youth, aboriginal people, or women who are underemployed or not working and not attending school",English,Toronto
SkillsInternational.ca,,,,info@skillsinternational.ca,www.skillsinternational.ca,,,,"Website offering database of pre-screened, internationally educated professionals who are looking for work for use by registered employers",Job Seekers - NoneEmployers - None for basic services,Job seekers: Self referral * pre-screening through an agency serving immigrants; agency posts resume to site,Employers looking for employees and skilled immigrants looking for work,English,Ontario
Employment Services Program,Canadian Hearing Society - Toronto Regional Office,416-928-2500,416-928-2523,info@chs.ca,www.chs.ca,271 Spadina Rd,Mon-Fri 9am-5pm,,,Fees for devices,Call or drop in,"Culturally deaf, oral deaf, deafened and hard of hearing adults 18 years and older who are unemployed",English ; American Sign Language (ASL) ; Quebec Sign Language (LSQ),Toronto
Vocational Therapy,Bridgepoint Active Healthcare - Bridgepoint Hospital,416-461-8252,416-461-5696,info@bridgepointhealth.ca,www.bridgepointhealth.ca,1 Bridgepoint Dr,Daily 24 hours,,"Provides help to individuals with a physical or mental impairment to obtain, prepare for, engage in, or retain a job",Most fees covered through OHIP,Medical referral required,,English,Toronto
Motor Vehicle Accident Treatment Program,West Park Healthcare Centre,416-243-3778,,rehabplus@westpark.org,,82 Buttonwood Ave,Administration: Mon-Fri 8am-4pm * service hours may vary,,Provide services for individuals affected by motor vehicle accidents (MVA),"Set fee-for-service * some fees may be covered by the WSIB, Motor Vehicle Accident Insurance or private insurance",Medical referral required,,,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
CNIB - Toronto Region,,416-486-2500,416-480-7700,info@cnib.ca,www.cnib.ca,1929 Bayview Ave,Mon-Fri 8:30am-4:30pm,,Multiservice agency for people with vision loss,Free,Call * no referral required * need to have a request for service completed by an eye care professional * request for service forms available on website,"People who are visually impaired, blind, or deaf blind",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Transition House for Men,Native Child and Family Services of Toronto,416-323-1840,,info@nativechild.org,www.nativechild.org,558 Bathurst St,Mon-Sun 24 hours * assessment interview -- Mon-Fri 9 am-5 pm,Taunya Paquette - Associate Executive Director,"Transitional housing * programs include job search skills, tutoring, life skills and personal development * capacity 12 * maximum stay 12-18 months",None,"For intake, call the Youth Department at 416-850-6110 to arrange an assessment interview","All self-declared Native young men 16-24 years, who are homeless or under housed",English ; Ojibway,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Residential Program,YOUTHLINK,416-967-1773,416-967-7515,info@youthlink.ca,www.youthlink.ca,747 Warden Ave,Daily 24 hours,,,,,,English,Toronto
On the Path,Sistering,416-926-9762 ext 240,416-926-1932,onthepath@sistering.org,www.sistering.org,962 Bloor St W,Tue-Fri 1 pm-3 pm,Tina Shapiro - Employment and Income Support Worker,,,Call for appointment,Women 18 years and older who face barriers and have difficulty in mainstream employment and training settings,English ; Italian ; Spanish ; Portuguese ; Chinese (Mandarin),"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Warden Woods Community Centre,,416-694-1138,416-694-1161,warden@wardenwoods.com,www.wardenwoods.com,74 Firvalley Court,Mon-Fri 9am-5pm,Hyacinth Olbino - Community Development Coordinator,"Supports for older adults, and adults with disabilities * helps people 
remain independent in their own homes for as long as possible * referral
 to other community services",Varies per program,Call * no referral required,"Older adults and adults with disabilities, who need physical, social, or emotional supports",English ; Arabic ; Tamil,Scarborough and area
Bangladeshi Canadian Community Services,,416-699-4484,416-698-8127,nakter@bangladeshi.ca,www.bangladeshi.ca,2899 Danforth Ave,Mon-Fri 9:30 am-4:30 pm,Qazi Shafayetul Islam - Project Coordinator,Settlement services * information and referral including for legal advice on refugee and immigration matters or for crisis intervention for assaulted women or men * form filling * sessions to address,None,Call for appointment,Open to all including immigrants and refugees * focus on Crescent Town and surrounding neighbourhoods,English ; Urdu ; Bengali ; Hindi,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Toronto Intergenerational Partnerships,,416-531-8447,416-531-7337,,www.tigp.org,Danforth Collegiate and Technical Institute,Mon-Thu 8am-3:30pm,,"Develops and facilitates intergenerational programs in partnership with groups, agencies, organizations * coordinates friendly visiting programs in long-term care facilities and the community *",Varies per program,Call * no referral required,"Older adults and people with disabilities, who need physical, social, or emotional supports",English ; Chinese (Cantonese) ; Chinese (Mandarain),Toronto and area
Fred Victor,,416-364-8228,416-364-8526,,www.fredvictor.org,"59 Adelaide St E, 6th Fl",Administration: Mon-Fri 9 am-5 pm * program hours vary,Jane Truemner - Director of Communications,"Multiservice agency -- includes drop-in programs, meal programs, health services, housing and emergency shelter, mental health and addiction programs, employment and training services, and community",,Call or visit website for information,"Single adults and families who are under-housed, living in shelters or homeless, and who have little or no income * adults, youth and seniors experiencing mental health conditions and/or addictions * varies by program, see branch entries for details",English,Toronto and area
Community Living Toronto - Central Region,,416-968-0650,416-968-6463,abradley@cltoronto.ca,www.communitylivingtoronto.ca,20 Spadina Rd,Mon-Fri 9am-4:30pm,Angela Bradley - Director Public Relations and Fundraising,Where choices change the lives of people with an intellectual disability,Fees vary by service (Passport funding is available to those under 18),"Contact Developmental Services Ontario, Toronto Region 1-855-372-3858 (1-855-DS-ADULT)","Children, youth and adults with an intellectual disability",English,Toronto
Variety Village,,416-699-7167,416-699-5752,info@varietyvillage.on.ca,www.varietyvillage.ca,3701 Danforth Ave,Administration: Mon-Fri 8:30 am-4:30pm * Members programs: Mon-Fri 6am-10pm * Sat-Sun 7am-5pm,Judy Black - Manager Membership,A sports training and fitness center for people of all abilities. The Village offers:,,,,English,Toronto
Covenant House Toronto,,416-598-4898,416-204-7030,general@covenanthouse.ca,www.covenanthousetoronto.ca,20 Gerrard St E,Emergency Intake -- Mon-Sun 24 hours,Carol Howes - Program Services Director,"Crisis intervention centre * residential, non-residential and community support services * education * pastoral ministry * runaway prevention program * day program * community youth meal programs",,"Call or drop in * food bank -- at initial intake assessment discussion, income and address information, and identification for household members, may be requested -- call for details",Homeless and runaway youth 16-24 years,English ; French ; Spanish,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
"Vietnamese Association, Toronto - Dundas Street West Office",,416-536-3611,416-536-8364,vat@vatoronto.ca,www.vatoronto.ca,1364 Dundas St W,Mon-Fri 9 am-5 pm,,"Settlement and adaptation services (formerly Immigrant Settlement and Adaptation Program) -- information and referral, orientation, housing referrals * one to one gambling counselling and",None,Call or drop in,Immigrants and refugees,English ; Hindi ; Filipino ; Chinese (Mandarin) ; Chinese (Cantonese) ; Tibetan ; Vietnamese,"Durham Region, East York, Etobicoke, Halton, Mississauga, North York, Scarborough, Toronto, York - Toronto, York Region"
"Vietnamese Association, Toronto - North York Office",,416-636-8887,416-636-8178,vat@vatoronto.ca,www.vatoronto.ca,"3585 Keele St, Unit 13",Mon-Fri 9 am-5 pm,Mark Manh Nguyen - Executive Director,"Settlement and adaptation services (formerly Immigrant Settlement and Adaptation Program) -- information and referral, orientation, housing referrals * one to one gambling counselling and",None,Call or drop in,Immigrants and refugees,English ; Hindi ; Filipino ; Chinese (Mandarin) ; Chinese (Cantonese) ; Tibetan ; Vietnamese,"Durham Region, East York, Etobicoke, Halton, Mississauga, North York, Scarborough, Toronto, York - Toronto, York Region"
South Asian Women's Centre,,416-537-2276,416-537-9472,info@sawc.org,www.sawc.org,"800 Lansdowne Ave, Unit 1",Mon-Fri 9 am-4 pm,,Multiservice centre,None,Call for appointment or drop in to fill out application form with copies of all relevant documents,Focus on South Asian women and their families,English ; Arabic ; Punjabi ; Portuguese ; Urdu ; Bengali ; Hindi ; Tamil ; Sinhala ; Tibetan,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Kababayan Multicultural Centre,,416-532-3888,416-532-0037,,www.kababayan.org,Entrance on Cowan Avenue,"Mon-Fri 9:30 am-5 pm, Sat-Sun 10 am-5 pm",,"Filipino youth, women and seniors programs * advocacy * women's support groups including group for abused women * information and referral * completion of forms * translation * counselling *",None,Call or drop in,Filipino community * also all new immigrants living in Parkdale area,English ; Filipino,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Kababayan Multicultural Centre - Bathurst and Finch Community Hub,,416-633-5056,,,www.kababayan.org,"540 Finch Ave W, Rooms 117, 119",Mon-Fri 9 am-5 pm,Flor Dandal - Executive Director,"Filipino youth, women and seniors programs * advocacy * women's support groups including group for abused women * information and referral * completion of forms * translation * counselling *",None,Call or drop in,Filipino community * open to all new immigrants in the neighbourhood,English ; Filipino,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, Woodbridge, York - Toronto, York Region"
Mennonite New Life Centre of Toronto - North York Site,,647-776-2057,647-776-2061,mnlct@mnlct.org,www.mnlct.org,"2737 Keele St, Unit 9",Mon-Sat 8:30 am-5 pm,Mario Bianchi Vivern - Settlement Program Manager,Settlement Services (formerly Immigrant Settlement and Adaptation Program) -- immigration counselling * assistance with sponsorship applications * escort * translation and interpretation * legal,None,Call for appointment,"Open to all * focus on Convention refugees, landed immigrants",English ; French ; Spanish ; Chinese (Mandarin) ; Chinese (Cantonese),"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Jewish Immigrant Aid Services Toronto,,416-630-6481,416-630-1376,info@jiastoronto.org,www.jiastoronto.org,"4600 Bathurst St, Ste 325","Mon-Thu 9 am-5:15 pm, Fri 9 am-3 pm",Lea Soibelman - Intake,"Settlement (formerly Immigrant Settlement and Adaptation Program) -- pre-arrival immigration information * newcomer counselling, integration and orientation, support groups, information and referral *",Free * fee for some translation services,Call for appointment,"Landed immigrants, refugees or temporary residents * focus on Jewish community",English ; French ; Spanish ; Russian ; Hebrew ; Yiddish,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto, York Region"
YMCA of Greater Toronto - North York - Newcomer Information Centre,,416-630-0330 ext 185,,,www.ymcagta.org/immigrantservices,"4580 Dufferin St, 2nd Fl","Mon 9 am-7 pm, Tue-Thu 9 am-5 pm, Fri 9 am-1 pm, Sat 10 am-2 pm (Saturdays April to September only)",Karine Shynkarenko - Program Team Leader,Settlement information and referral * settlement information sessions in various locations * guest speaker series * ,None,"Walk in, no appointment required",Newcomers (landed immigrants and convention refugees) * ,English ; Spanish ; Arabic ; Ukrainian ; American Sign Language (ASL) ; Russian ; Korean ; Hindi ; Hebrew ; Chinese (Mandarin) ; Farsi ; Armenian ; Assyrian ; Bulgarian ; Chinese (Cantonese) ; Dari ; Sinhala,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
YMCA of Greater Toronto - Central Toronto - Newcomer Information Centre,,416-975-9168 ext 32400,,,www.ymcagta.org/immigrantservices,"20 Grosvenor St, 3rd Fl","Mon-Thu 9 am-6 pm, Fri 9 am-2 pm, Sat 10 am-2 pm",Alla Minasova - Team Leader,Settlement information and referral * settlement information sessions in various locations * guest speaker series * ,None,"Walk in, no appointment required",Newcomers (landed immigrants and convention refugees) * ,English ; French ; Spanish ; Punjabi ; Ukrainian ; Russian ; Urdu ; Hindi ; Chinese (Mandarin) ; Farsi ; Armenian ; Indonesian ; Nepali,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Workplace Safety and Insurance Board,,416-344-1000,416-344-4684 or 1-888-313-7373,,www.wsib.on.ca,200 Front St W,Office: Mon-Fri 8:30am-4:30pm,,Promotes workplace health and safety * administers Ontario's no-fault workplace insurance for employers and their workers,Free * employer premiums,No referral required - Employer registration within ten days of becoming an employer * injured workers must claim within six months of injury or upon learning about an occupational disease,Ontario employers and workers,English ; French,Ontario
Polycultural Immigrant and Community Services - Etobicoke Central,,416-233-0055,416-233-5141,info@polycultural.org,www.polycultural.org,3363 Bloor St W,Mon-Fri 8:30 am-4:30 pm * Mon 4:30 pm-7 pm by appointment only * LINC classes Mon-Thu evenings,Vesna Kacanski - Intake Worker,"Settlement Services -- orientation, information, assessment and referral * case management for high need clients * supportive counselling for youth, families and women * employment and educational",,Varies for different services -- call for information,"Permanent residents, refugee claimants, Convention refugees, and first generation Canadians * ELT -- foreign trained professionals who are Convention refugees or permanent residents",English ; French ; Spanish ; Polish ; Arabic ; Serbian ; Ukrainian ; Russian ; Romanian ; Croatian,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Learning Enrichment Foundation,,416-769-0830,416-769-9912,info@lefca.org,www.lefca.org,116 Industry St,"Mon-Fri 8 am-5 pm, Sat 8:30 am-12:30 pm",,Community economic development through employment services * youth programs * settlement programs and services ,,,Eligibility requirements for some programs * call for details,English ; French ; Greek ; Italian ; German ; Spanish ; Polish ; Hungarian ; Arabic ; Punjabi ; Serbian ; Ukrainian ; Portuguese ; Japanese ; Russian ; Urdu ; Korean ; Somali ; Bengali ; Hindi ; Gujarati ; Romanian ; Filipino ; Croatian ; Chinese (Mandarin) ; Farsi ; Tamil ; Twi ; West Indian dialects ; Akan ; Albanian ; Amharic ; Azerbaijani ; Bulgarian ; Chinese (Cantonese) ; Dari ; Edo ; Ewe ; Hausa ; Krio ; Limba ; Luo ; Macedonian ; Pashto ; Sinhala ; Swahili ; Temne ; Tigre ; Tigrinya ; Turkish ; Vietnamese ; Yiddish ; Yoruba,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Learning Enrichment Foundation - Language Instruction for Newcomers to Canada,,416-769-0830,416-769-9912,emartinez@lefca.org,www.lefca.org,116 Industry St,Office -- Mon-Fri 8 am-5 pm * Classes -- Mon-Fri 9 am-2:30 pm,Eliza Martinez,,None,Register in person * no appointment necessary * immigration documents or permanent resident card required,"Landed immigrants, Convention refugees or Permanent residents * must be 18 years or older",English ; French ; Italian ; Spanish ; Polish ; Arabic ; Punjabi ; Ukrainian ; Portuguese ; Russian ; Urdu ; Somali ; Hindi ; Filipino ; Chinese (Mandarin) ; Farsi ; Tamil ; Chinese (Cantonese),"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Egale Canada Human Rights Trust - Egale Youth OUTreach Counselling Centre and Drop-in,,416-964-7887 ext 9,1-888-990-0585,outreach@egale.ca,egale.ca/outreach,183 Carlton St,Drop-in centre and walk-in counselling -- Mon-Fri 3 pm-7 pm * counselling also by appointment Mon-Fri 11 am-3 pm,Jane Walsh - Program Manager,"Drop-in centre and counselling services for LGBTIQ2S youth * intake, assessment and individualized support plan * information and referral -- emergency shelter, housing options * assistance in",None,"Call, email or drop in","Lesbian, gay, bisexual, trans, intersex, queer, questioning and Two-Spirit (LGBTIQ2S) youth 16-29 years who are homeless, unstably housed, or at risk of homelessness",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Parkdale Intercultural Association,,416-536-4420,416-538-3931,pia@piaparkdale.com,www.piaparkdale.com,1257 Queen St W,"Mon-Fri 9 am-5 pm, also Tue, Thu 5 pm-8:30 pm * some Saturday programs",Marek Kurek - Office Manager,Settlement Program (formerly Immigrant Settlement and Adaptation Program) and Newcomer Settlement Program -- information and referral * translation and interpretation * assistance with government,None,Drop in or call for appointment,Open to all * LINC Program -- permanent residents/landed immigrants or Convention refugees,English ; Spanish ; Polish ; Hungarian ; Punjabi ; Japanese ; Hindi ; Chinese (Mandarin) ; Tamil ; Chinese (Cantonese) ; Nepali ; Tibetan ; Vietnamese,"East York, Toronto"
Armenian Family Support Services,,416-431-5549 ; Church office 416-431-3001,416-431-0269,contactus@afsstoronto.ca,www.afsstoronto.org,Holy Trinity Armenian Church,By appointment only,Diana Zeynalvand - Administrative Assistant,,None,Call for appointment,Open to all,English ; Farsi ; Armenian,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
"Ontario. Ministry of Labour. Employment Practices Branch - Central Region East, North York",,"647-777-5005, General Inquiry 416-326-7160",647-777-5010,webes@ontario.ca,www.labour.gov.on.ca,"5001 Yonge St, Ste 1600",Mon-Fri 8:30 am-5 pm * General Inquiry 8:30 am-5 pm,,Sets out the rights and responsibilities of employees and employers in Ontario workplaces,,"No walk in service, call for information, online information or claim filing at ",Employees or employers,English ; French,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Toronto District School Board - Centerpoint Site - Newcomer Services,,416-395-2045,,nscenterpoint@tdsb.on.ca,communitysvcs.tdsb.on.ca,Centerpoint Mall,Mon-Fri 8:30 am-4:30 pm,Christopher Folkes - Community Services Supervisor,,None,Call or drop in,"Newcomers 13 years and older, Permanent residents, Landed immigrants and Convention refugees",English ; Spanish ; Hungarian ; Korean ; Somali ; Filipino ; Farsi,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Community MicroSkills Development Centre - Youth Centre,,416-247-7181 ext 2601,416-247-1877,admin@microskills.ca,www.microskills.ca,1 Vulcan St,Mon-Fri 10 am-6:30 pm,"Michelle Tinker - Associate Director, Youth Services","Community centre * after school programs * life skills training and employability skills * employment counselling, resume help, pre-employment and pre-apprenticeship programs * settlement services *",None,"Call, drop in or email",Youth 13-29 years,English,Etobicoke
Skills for Change,,416-658-3101,416-658-6292,communications@skillsforchange.org,www.skillsforchange.org,791 St Clair Ave W,"Mon 9 am-9:30 pm, Tue-Fri 9 am-5 pm, Sat 9 am-1 pm",,"Language training, skills upgrading and employment preparation -- see separate entries for details",Fee for some courses,Call ,"All newcomers, immigrants and refugees * special focus on internationally-trained professionals",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Service Canada - Toronto - West Humber Service Canada Centre,,1-800-O-Canada-1-800-622-623,,,www.servicecanada.gc.ca,"2291 Kipling Avenue, Unit 114",Mon-Fri 8:30am-4pm,,"Human Resource Centre, provides services to: 
","Service * Cash (exact change only), Master Card, Visa, American Express, Cheque, Debit Card",,,English,Peel Region
Somali Immigrant Aid Organization Toronto,,416-243-1988,416-243-2903,siao@idirect.com,www.siao.ca,"1778 Weston Rd, Ste 105",Mon-Fri 9 am-5 pm,Osman Duale - LINC Manager,"Settlement services * immigration and sponsorship issues * translation and interpretation * participates in LINC (Language Instruction for Newcomers to Canada) in English, upon assessment by YMCA of",None,Call for appointment or drop in,"Immigrants, refugees and newcomers",English ; Italian ; Arabic ; Urdu ; Somali ; Romanian ; Pashto ; Swahili,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Consumer/Survivor Information Resource Centre Of Toronto,,416-595-2882,,csinfo@camh.ca,www.csinfo.ca,"CAMH, The Mall",Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm,,,,,,,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Canada. Veterans Affairs Canada,,,,information@vac-acc.gc.ca,www.vac-acc.gc.ca,Sunnybrook Health Sciences Centre,,,See ,,Varies by program -- call or visit website for details,"Member or veteran of the Canadian Armed Forces, Regular or Reserve * Veteran or allied veteran of the Second World War or the Korean War * Member or veteran of the RCMP * Family member or survivor of a veteran * eligibility varies by program",English ; French,"East York, North York, Toronto"
Canadian Ukrainian Immigrant Aid Society - North York Office,,416-225-0511,416-225-5008,cuias@cuias.org,www.cuias.org,Bathurst-Finch Hub,Mon-Fri 9:30 am-5 pm,Svitlana Demchenko - Settlement Counsellor,,,Call for appointment,All newcomers,English ; Ukrainian ; Russian,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Canada. Veterans Affairs Canada - Scarborough Service Centre,,,,information@vac-acc.gc.ca,www.vac-acc.gc.ca,"55 Town Centre Crt, Ste 205",,,See ,,Varies by program -- call or visit website for details,"Member or veteran of the Canadian Armed Forces, Regular or Reserve * Veteran or allied veteran of the Second World War or the Korean War * Member or veteran of the RCMP * Family member or survivor of a veteran * eligibility varies by program",English ; French,Scarborough
Chinese Association of Mississauga,,905-275-8558,905-275-7582,,chineseassociationmississauga.com,Golden Square Centre,Office Hours,Eric Wen - President,,Membership - $20/yr,,,English ; Chinese (Mandarin) ; Interpretive Services,"Brampton, Burlington, Caledon, Dufferin County, Etobicoke, Halton, Mississauga"
Public Health Physicians of Canada,,613-725-9510,613-725-9826,phpc@cpha.ca,www.nsscm.ca,"1525 Carling Ave, Ste 404",,,"Professional development and advocacy for the fields of health protection and promotion, and disease and injury prevention * job postings and recruitment announcements",Set membership fees * free resident memberships,,Public health doctors * public health and preventive medicine specialists,English ; French,Canada
Ontario Society of Chiropodists,,905-567-3094,905-567-7191,info@ontariochiropodist.com,www.ontariochiropodist.com,"6700 Century Ave, Ste 100",,,,Free for the public * membership fee for chiropodists,Membership forms available online,Chiropodists for membership,English,Ontario
YMCA of Greater Toronto - Career Planning and Development,,416-928-3362 ext 22609,647-439-1689,careerplanning@ymcagta.org,www.ymcagta.org/en/get-a-job/career_planning/index...,"2200 Yonge St, Ste 219",Mon-Fri 9 am-5 pm,,"Confidential one-on-one vocational testing, assessments and counselling * follow-up support sessions * support for employers with candidate selection testing and employee development * group workshops",Service,Call to register,"Individuals 16 years and older who need help to find, change or establish a career * employers and recruiters",English,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Canada. Employment and Social Development Canada. Toronto District Office - Labour Program,,,416-954-5911,,www.esdc.gc.ca/en/jobs/workplace/employment_standa...,Joseph Shepard Building,Mon-Fri 8 am-4 pm,,"Provides information on federal employment standards, employment and pay equity, occupational health and safety and workplace safety legislation",,"Appointment required, online reporting available at ","Employers and employees of workplaces under federal jurisdiction -- federal government; crown corporations; airlines and airports; banks, telephone, telegraph and cable companies; marine shipping, ferry and port services; interprovincial and international railway and road transportation; radio and television broadcasting; uranium mining and processing; businesses involved in protection of fisheries as a natural resource",English ; French,"Durham Region, East York, Etobicoke, Halton, Mississauga, North York, Scarborough, Toronto, York - Toronto, York Region"
SettlementAtWork.Org,Settlement.Org,,,atwork@ocasi.org,www.settlementatwork.org,,,,"Find and share settlement-related resources and information * website features news items, events, requests for proposals and job listings for professionals in the settlement sector of Ontario",Free,Visit Website,,English,Ontario
Christie Ossington Neighbourhood Centre,,,,conc@conc.ca,www.conccommunity.org,789 Dovercourt St W,"Office -- Mon-Fri 10 am-5 pm * drop-in -- Mon-Thu 10 am-5 pm, Sat-Sun 11 am-4 pm * program hours vary, see branch listings",,Multiservice neighbourhood centre * see branch entries for more program details ,None,"Call, drop in or visit the website",Open to all,English ; Spanish ; Ukrainian ; Portuguese ; Russian ; Chinese (Mandarin) ; Chinese (Cantonese),
Centerpoint Mall - Settlement Services,Centre francophone de Toronto,416-221-4442,,,www.centrefranco.org,"555 Richmond St W, Ste 303, PO Box 905",Mon-Fri 8:30 am-4:30 pm,Sonia Kleper - Administrative Assistant,"Settlement Program (formerly Immigrant Settlement and Adaptation Program) -- services to enable immigrants and refugees to integrate into Canadian society including orientation programs, skills",,Call for appointment * drop in for emergency service,French-speaking people living in Toronto,French ; French - Designated Agency under the French Language Services Act,"Durham Region, East York, Etobicoke, North York, Scarborough, Toronto, York - Toronto"
Employment Ontario Hotline,Ontario. Employment Ontario,,,employmenthotlineinquiries@ontario.ca,www.tcu.gov.on.ca/eng/employmentontario/,,Mon-Fri 8am-5pm,,Access to Ontario's training and employment initiatives ,None,Self referral - telephone,No restrictions for information * some restrictions for programs,English ; French,Ontario
AccessPoint on Danforth,Access Alliance Multicultural Health and Community Services,416-693-8677,416-693-1330,mail@accessalliance.ca,www.accessalliance.ca,3079 Danforth Ave,"Mon, Tue, Thu 9am-8pm * Wed 1pm-5pm * Fri 9 am-5pm * Sat 10am-5pm",,Health and community services,Free,Health services - No referral required or by community agency referral,"Newcomers, immigrants and refugees",English,Toronto and area
AccessPoint on Jane,Access Alliance Multicultural Health and Community Services,416-760-8677,416-760-8670,mail@accessalliance.ca,www.accessalliance.ca,"761 Jane St, 2nd Fl, Ste 200B","Mon, Tue, Thu 9am-8pm * Wed 1pm-5pm * Fri 9am-5pm",,Health and community services,Free,Health services - Referral by community agency or self referral,Newcomer immigrants and refugees,English,Toronto (York)
